COIN	COIN_ABR	DATE	OPEN	HIGH	LOW	CLOSE
ripple	XRP	2017-03-18	0.006137	0.007396	0.006118	0.00671
bitcoin	BTC	2017-03-19	976.73	1069.91	976.73	1036.74
ethereum	ETH	2017-03-19	35.53	47	35.34	44.74
litecoin	LTC	2017-03-19	3.96	4.03	3.9	3.96
ripple	XRP	2017-03-19	0.006736	0.007198	0.006556	0.006912
bitcoin	BTC	2017-03-20	1037.24	1063.03	1036.68	1054.23
ethereum	ETH	2017-03-20	44.83	46.23	42.44	43.39
litecoin	LTC	2017-03-20	3.95	4.05	3.89	4.03
ripple	XRP	2017-03-20	0.006915	0.007112	0.006761	0.006975
bitcoin	BTC	2017-03-21	1055.36	1122.43	1055.36	1120.54
ethereum	ETH	2017-03-21	43.51	44.26	42.37	43.15
litecoin	LTC	2017-03-21	4.04	4.04	3.98	4.01
ripple	XRP	2017-03-21	0.006996	0.007075	0.006792	0.006909
bitcoin	BTC	2017-03-22	1120.65	1120.65	1014.21	1049.14
ethereum	ETH	2017-03-22	43.12	43.52	39.69	42.34
litecoin	LTC	2017-03-22	3.99	4.01	3.89	3.94
ripple	XRP	2017-03-22	0.006908	0.00746	0.006882	0.007301
bitcoin	BTC	2017-03-23	1050.05	1058.01	1028.93	1038.59
ethereum	ETH	2017-03-23	42.57	44.75	41.3	43.68
litecoin	LTC	2017-03-23	3.93	4	3.92	3.98
ripple	XRP	2017-03-23	0.007284	0.010582	0.007258	0.010582
bitcoin	BTC	2017-03-24	1038.45	1040.47	934.36	937.52
ethereum	ETH	2017-03-24	43.64	54.14	43.21	53.11
litecoin	LTC	2017-03-24	3.97	4.13	3.94	4.08
ripple	XRP	2017-03-24	0.010528	0.010825	0.009135	0.010518
bitcoin	BTC	2017-03-25	936.54	975.76	903.71	972.78
ethereum	ETH	2017-03-25	53.58	53.58	48.31	51.25
litecoin	LTC	2017-03-25	4.07	4.12	3.97	4.07
ripple	XRP	2017-03-25	0.010502	0.010711	0.00904	0.009116
bitcoin	BTC	2017-03-26	974.01	1007.96	954.19	966.73
ethereum	ETH	2017-03-26	50.77	51.8	49.28	50.52
litecoin	LTC	2017-03-26	4.07	4.1	4.03	4.06
ripple	XRP	2017-03-26	0.009159	0.00984	0.009079	0.009545
bitcoin	BTC	2017-03-27	972.05	1046.4	971.98	1045.77
ethereum	ETH	2017-03-27	51.31	52.46	48.93	49.67
litecoin	LTC	2017-03-27	4.07	4.14	4.04	4.08
ripple	XRP	2017-03-27	0.009482	0.010053	0.009155	0.009597
bitcoin	BTC	2017-03-28	1044.58	1064.65	1027.73	1047.15
ethereum	ETH	2017-03-28	49.71	50.96	49.15	50.77
litecoin	LTC	2017-03-28	4.07	4.18	4.06	4.16
ripple	XRP	2017-03-28	0.009568	0.009644	0.00928	0.009514
bitcoin	BTC	2017-03-29	1046.08	1055.13	1015.88	1039.97
ethereum	ETH	2017-03-29	50.57	53.87	50.55	53.13
litecoin	LTC	2017-03-29	4.14	4.2	4.09	4.19
ripple	XRP	2017-03-29	0.009526	0.010101	0.00952	0.010101
bitcoin	BTC	2017-03-30	1042.21	1049.29	1020.04	1026.43
ethereum	ETH	2017-03-30	53.12	53.31	51.87	52.21
litecoin	LTC	2017-03-30	4.18	7.04	4.15	6.98
ripple	XRP	2017-03-30	0.010125	0.014126	0.010125	0.013276
bitcoin	BTC	2017-03-31	1026.64	1074.92	1026.64	1071.79
ethereum	ETH	2017-03-31	51.75	51.77	47.38	50.04
litecoin	LTC	2017-03-31	7.02	7.07	5.85	6.67
ripple	XRP	2017-03-31	0.013049	0.021776	0.013049	0.020889
bitcoin	BTC	2017-04-01	1071.71	1091.72	1061.09	1080.5
ethereum	ETH	2017-04-01	50.03	51.93	48.88	50.7
litecoin	LTC	2017-04-01	6.65	6.98	6.31	6.88
ripple	XRP	2017-04-01	0.021743	0.022798	0.019664	0.021892
bitcoin	BTC	2017-04-02	1080.61	1107.59	1075.45	1102.17
ethereum	ETH	2017-04-02	50.74	51.27	45.43	48.75
litecoin	LTC	2017-04-02	6.86	7.94	6.65	7.74
ripple	XRP	2017-04-02	0.021938	0.071441	0.021696	0.061159
